,transmission-parameter,beds-H,beds-C,death-no-bed,distancing-reduction,HR-shield-duration,isolation-efficacy,mild-asymptomatic,self-isolators,informers,found-and-isolate,prob-InfDeath,prob-InfHosp,prob-HospDeath,prob-HospCrit,prob-CritDeath,immune-mild,immune-severe,immune-loss-when,when-symptoms-if-I,prop-high-risk,relative-risk,intervention-duration,blocked-bed-effect?,distancing-option,isolate-inform?,high-risk-shielding?,use-age-mixing?,trigger-type,trigger-level,Switch-level
0,0.07940448480498499,80.59662630416766,4.109666815554726,0.7658634633735812,0.5818828888344543,34.07193872987008,0.8157280535921013,0.21818642546424394,0.01597813264561687,0.07282046054553326,0.1472569000669297,0.01371265364761176,0.2214708603572382,0.41626270945540167,0.3194355598800981,0.06254834409752297,0.2523065318564901,0.1474757307306629,15.866162498733054,0.9779394044362533,0.1128362284011597,6.275442691319306,37.48372508422931,False,"""AllOrNone""",False,False,False,"""cases""",1710.84282051613,2500.0
1,0.013115070589439648,15.387709957197071,2.933067317526601,0.5905890268914821,0.7814547326002593,47.20137271683053,0.9108210488251585,0.29942339234999726,0.9859322226259084,0.1402052787727669,0.3147756292032643,0.015368030655089697,0.09235150623670235,0.10640822344104506,0.8935917765589549,0.709425735284874,0.09211438753753409,0.31720691740816864,21.763031904572404,2.171411577329679,0.017212394599453586,10.903912493762252,38.03619599249627,False,"""AllOrNone""",True,False,False,"""cases""",1782.974173094529,1000.0
2,0.10363174119273762,25.749501049046664,2.471365305864449,0.346274219492831,0.7988948435502952,36.43340582882988,0.8283525274710934,0.6206195068973398,0.23803895255593976,0.45058958189395704,0.9526865765084912,0.0017451513033054456,0.02116952344597592,0.11854494267568949,0.8814550573243105,0.46835537272783534,0.9324675513379334,0.9856644715714193,18.17596039290622,1.7836500498260481,0.15081366211942449,8.627085066228435,41.68149570179682,True,"""None""",True,True,True,"""cases""",127.00933819648826,1500.0
3,0.1426984952266744,19.627336147040918,8.906591415555221,0.7382086697502317,0.08127909542934297,12.531870220302013,0.8639291898964786,0.4629607028412759,0.6549175045593917,0.8151692877137099,0.7863408805428842,0.007470105857392922,0.052371861117893714,0.3631335825210975,0.14733501581998099,0.1195479481699574,0.3143358352395532,0.506740594144817,5.879412941446427,0.8892054632426846,0.19803838023877396,5.802673566128879,37.66671118720656,True,"""AllOrNone""",True,False,True,"""days""",125.0,2500.0
4,0.005718520821545947,52.37915790401967,9.829351048452313,0.8654673784312888,0.2817866840586116,21.851498721799686,0.9777182165546137,0.44781005723866063,0.4048058374199416,0.7568166232920869,0.6014250982519628,0.002149933395977559,0.2187065242129909,0.6252060592445198,0.3747939407554802,0.13565219777423698,0.39937373779687124,0.4323466089750019,6.891765612028383,2.186799376684692,0.17221975885690777,6.793100419811253,21.824110498421966,False,"""None""",True,True,True,"""cases""",729.5797458820751,1500.0
5,0.07241731565333229,66.49842687803194,5.505243519030287,0.4651146074185746,0.7743160679196173,49.97147443372107,0.900787809800003,0.5197143005475391,0.41495929302193324,0.822593433793605,0.13362906421758058,0.00044317041922296683,0.18383294113071655,0.06382424053228009,0.5424313917454335,0.2183106495371141,0.9465273599613407,0.03021415910427938,8.406887334165969,0.8975762487463992,0.003744525877535776,11.28125918161499,20.117022302414185,True,"""AllOrNone""",False,True,False,"""hospital""",53.18588586456487,1500.0
6,0.0600769541401211,14.566058616827693,0.24905057119255725,0.5157864897930431,0.12415374992568606,43.663178309008046,0.8142163314045617,0.4289873502238636,0.6486209471029419,0.9171521061250043,0.49601588617139547,0.013710590296359492,0.06568369215536968,0.08455724261230024,0.4209945869880428,0.09815351211717294,0.011407834469986722,0.898418633874541,17.477517334437113,1.9028882909861793,0.06965208551752054,5.788591381834519,5.934659967995362,True,"""ByContact""",True,False,False,"""days""",91.0,1500.0
7,0.1435473111851522,89.3682185474412,9.695251787810161,0.03083380051738127,0.3368084386371816,50.43932549160095,0.9588463220211921,0.5223887844717807,0.6935547352326633,0.7021785557162609,0.435116751770516,0.0114041724216439,0.1998714134791864,0.41143703928054964,0.5885629607194504,0.43133547429124497,0.36483810662216876,0.18423483099109217,22.556129408512888,1.731152224410855,0.0736852850098103,8.096155730187563,9.914427255844728,True,"""AllOrNone""",True,True,False,"""cases""",1070.9881408578317,1500.0
8,0.1180000256917713,15.89311502967482,5.974633937064721,0.471629080739676,0.3552844728941227,10.798890487354312,0.8073038192369557,0.18796151089008373,0.4325365397562235,0.2165667572677895,0.08529973386273926,0.008835346636821064,0.0043289742302514145,0.38229218358254213,0.6177078164174579,0.2161778036328953,0.8382976018196614,0.7533244103399147,23.095284839293395,1.1870773692030956,0.01151211090518125,8.861163108082096,49.22606870795613,True,"""ByContact""",False,False,True,"""days""",61.0,1500.0
9,0.014973811845965256,13.648617058128409,9.875183218625956,0.960592103526598,0.3397818002942623,19.010490068875402,0.8859349665032273,0.024825987993609244,0.8483559982252792,0.6357436871314539,0.23214486116124777,0.004138437474810732,0.034808248102014244,0.004158194100082668,0.9958418058999173,0.237532787323658,0.6116208029288335,0.24281460802914967,9.063134106765787,2.013094626702721,0.07849907947217052,7.718631180123751,22.890504078383515,False,"""None""",True,False,False,"""hospital""",14.090152650141286,2500.0
